City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
172,Sabla,12.7525,4.7077,82.36,14,2,11.18,NG,1672247035
173,Hong Kong,22.2855,114.1577,64.45,69,61,5.01,HK,1672246805
174,Monywa,22.1167,95.1333,68.85,54,72,4.07,MM,1672247036
175,Broken Hill,-31.95,141.4333,65.34,45,100,18.75,AU,1672247037
176,Price,39.5994,-110.8107,32.11,100,100,0.0,US,1672247037
177,Pilar,-9.5972,-35.9567,84.13,59,56,11.88,BR,1672246785
178,Sambava,-14.2667,50.1667,77.45,81,37,8.66,MG,1672247038
179,Kapit,2.0167,112.9333,71.31,99,100,1.34,MY,1672247038
180,Kimbe,-5.5502,150.1429,76.12,92,100,2.15,PG,1672247038
181,Kathmandu,27.7167,85.3167,46.62,81,20,5.75,NP,1672246867
182,Ofakim,31.3141,34.6203,54.72,73,11,5.86,IL,1672247039
183,Torres,-29.3353,-49.7269,78.82,77,39,20.38,BR,1672247039
184,Beringovskiy,63.05,179.3167,-6.54,95,100,17.58,RU,1672247040
185,Cidreira,-30.1811,-50.2056,68.13,79,99,11.52,BR,1672247042
186,Northam,51.0333,-4.2167,50.4,95,100,27.54,GB,1672247042
187,Tagusao,9.1924,117.8141,73.38,88,100,4.45,PH,1672247043
188,Fortuna,40.5982,-124.1573,44.94,95,20,8.05,US,1672247043
189,San Quintín,30.4833,-115.95,59.29,88,100,3.42,MX,1672247043
190,Ternate,0.8,127.4,81.1,81,100,8.48,ID,1672247044
191,Tomatlán,19.9333,-105.25,85.05,29,0,2.46,MX,1672247044
192,Haapiti,-17.5667,-149.8667,76.73,68,8,12.84,PF,1672247044
193,Bangonay,9.3144,125.5539,74.5,91,98,0.67,PH,1672247045
194,Korla,41.7597,86.1469,18.25,55,0,1.79,CN,1672247045
195,Kibala,9.1104,18.3463,80.46,19,20,4.07,TD,1672247045
196,Hirara,24.8,125.2833,68.45,76,83,23.2,JP,1672247046
197,Mount Gambier,-37.8333,140.7667,49.33,75,35,5.28,AU,1672247046
198,Mahébourg,-20.4081,57.7,77.29,73,40,5.75,MU,1672247046
199,Kwang Binh,17.4833,106.6,69.06,86,100,12.73,VN,1672247047
200,Gombong,-7.6072,109.5142,77.31,89,100,4.92,ID,1672247047
201,Nelspruit,-25.4745,30.9703,75.07,71,85,3.96,ZA,1672247047
202,Kiryat Gat,31.61,34.7642,59.68,100,9,4.03,IL,1672247048
203,Longyearbyen,78.2186,15.6401,28.24,80,75,6.91,SJ,1672247048
204,Harper,4.375,-7.7169,83.55,68,24,12.08,LR,1672247048
205,Padang,-0.9492,100.3543,76.66,83,100,2.04,ID,1672247048
206,Avera,33.194,-82.5271,53.38,51,1,4.61,US,1672247049
207,Nassau,40.7507,-73.5829,44.47,58,0,17.27,US,1672247049
208,Jiayuguan City,39.8167,98.3,14.34,61,69,3.85,CN,1672247002
209,Maracaibo,10.6317,-71.6406,86.86,58,4,2.42,VE,1672246869
210,Boa Vista,2.8197,-60.6733,87.78,48,75,6.91,BR,1672247050
211,Phonhong,18.5007,102.4166,65.84,78,80,2.08,LA,1672247050
212,São João da Barra,-21.6403,-41.0511,79.09,78,92,15.28,BR,1672247051
213,Pevek,69.7008,170.3133,-7.92,100,100,2.93,RU,1672247051
214,Saint Paul Harbor,57.79,-152.4072,33.31,100,100,0.0,US,1672247051
215,Scalea,39.813,15.7956,57.43,82,11,0.67,IT,1672246889
216,Flinders,-34.5833,150.8552,67.37,84,86,13.67,AU,1672247052
217,Bandarbeyla,9.4942,50.8122,77.16,65,62,17.16,SO,1672247052
218,Byron Bay,-28.65,153.6167,63.95,84,27,2.73,AU,1672247052
